day,month,year,daily_policy_index
11,9,1985,99.58
12,9,1985,32.79
13,9,1985,73.34
14,9,1985,50.91
15,9,1985,239.81
16,9,1985,49.42
17,9,1985,124.21
18,9,1985,33.39
19,9,1985,65.81
20,9,1985,69.26
21,9,1985,143.95
22,9,1985,93.51
23,9,1985,199.68
24,9,1985,236.04
25,9,1985,67.17
26,9,1985,226.79
27,9,1985,72.97
28,9,1985,99.84
29,9,1985,126.25
30,9,1985,99.99
1,10,1985,115.54
2,10,1985,32.39
3,10,1985,62.99
4,10,1985,170.61
5,10,1985,44.76
6,10,1985,118.90
7,10,1985,237.92
8,10,1985,117.08
9,10,1985,91.18
10,10,1985,59.85
11,10,1985,66.91
12,10,1985,91.72
13,10,1985,261.39
14,10,1985,95.74
15,10,1985,38.60
16,10,1985,30.79
17,10,1985,123.29
18,10,1985,99.26
19,10,1985,141.37
20,10,1985,115.00
21,10,1985,45.78
22,10,1985,118.47
23,10,1985,58.99
24,10,1985,55.92
25,10,1985,30.59
26,10,1985,44.92
27,10,1985,113.79
28,10,1985,84.58
29,10,1985,34.88
30,10,1985,27.24
31,10,1985,107.03
1,11,1985,116.87
2,11,1985,385.37
3,11,1985,182.17
4,11,1985,40.03
5,11,1985,67.73
6,11,1985,152.24
7,11,1985,26.19
8,11,1985,120.93
9,11,1985,41.77
10,11,1985,212.06
11,11,1985,126.66
12,11,1985,70.64
13,11,1985,81.39
14,11,1985,187.98
15,11,1985,117.07
16,11,1985,83.58
17,11,1985,284.53
18,11,1985,161.25
19,11,1985,131.67
20,11,1985,52.43
21,11,1985,26.69
22,11,1985,146.29
23,11,1985,42.43
24,11,1985,127.79
25,11,1985,79.53
26,11,1985,34.06
27,11,1985,263.40
28,11,1985,30.64
29,11,1985,142.80
30,11,1985,97.56
1,12,1985,192.88
2,12,1985,167.91
3,12,1985,267.72
4,12,1985,53.06
5,12,1985,80.86
6,12,1985,177.01
7,12,1985,323.14
8,12,1985,259.32
9,12,1985,197.15
10,12,1985,96.86
11,12,1985,79.18
12,12,1985,128.20
13,12,1985,28.73
14,12,1985,42.43
15,12,1985,267.42
16,12,1985,204.21
17,12,1985,68.49
18,12,1985,77.60
19,12,1985,163.05
20,12,1985,186.78
21,12,1985,89.48
22,12,1985,141.84
23,12,1985,83.92
24,12,1985,74.46
25,12,1985,43.25
26,12,1985,81.07
27,12,1985,35.23
28,12,1985,98.50
29,12,1985,183.12
30,12,1985,42.98
31,12,1985,34.84
1,1,1986,144.71
2,1,1986,161.63
3,1,1986,56.10
4,1,1986,190.63
5,1,1986,298.08
6,1,1986,114.81
7,1,1986,198.20
8,1,1986,73.31
9,1,1986,97.54
10,1,1986,227.24
11,1,1986,344.77
12,1,1986,288.56
13,1,1986,72.61
14,1,1986,85.84
15,1,1986,90.35
16,1,1986,164.48
17,1,1986,99.94
18,1,1986,376.09
19,1,1986,162.84
20,1,1986,77.73
21,1,1986,176.66
22,1,1986,133.90
23,1,1986,90.63
24,1,1986,149.76
25,1,1986,34.45
26,1,1986,349.85
27,1,1986,173.90
28,1,1986,113.60
29,1,1986,21.90
30,1,1986,185.02
31,1,1986,24.70
1,2,1986,102.40
2,2,1986,318.40
3,2,1986,292.62
4,2,1986,112.97
5,2,1986,91.15
6,2,1986,234.07
7,2,1986,319.36
8,2,1986,35.42
9,2,1986,348.08
10,2,1986,74.54
11,2,1986,225.39
12,2,1986,139.14
13,2,1986,112.84
14,2,1986,25.46
15,2,1986,35.02
16,2,1986,370.22
17,2,1986,78.77
18,2,1986,157.13
19,2,1986,140.99
20,2,1986,70.28
21,2,1986,49.39
22,2,1986,66.84
23,2,1986,348.44
24,2,1986,182.11
25,2,1986,84.24
26,2,1986,183.57
27,2,1986,98.17
28,2,1986,74.30
1,3,1986,129.51
2,3,1986,217.22
3,3,1986,141.33
4,3,1986,169.04
5,3,1986,43.85
6,3,1986,22.38
7,3,1986,93.78
8,3,1986,67.13
9,3,1986,209.51
10,3,1986,103.67
11,3,1986,109.92
12,3,1986,171.42
13,3,1986,21.64
14,3,1986,72.08
15,3,1986,33.32
16,3,1986,86.07
17,3,1986,276.19
18,3,1986,109.07
19,3,1986,87.56
20,3,1986,64.86
21,3,1986,70.08
22,3,1986,33.76
23,3,1986,174.96
24,3,1986,68.43
25,3,1986,106.14
26,3,1986,43.48
27,3,1986,67.94
28,3,1986,73.88
29,3,1986,36.89
30,3,1986,138.33
31,3,1986,252.00
1,4,1986,165.28
2,4,1986,22.31
3,4,1986,93.12
4,4,1986,25.20
5,4,1986,103.50
6,4,1986,208.11
7,4,1986,103.74
8,4,1986,27.94
9,4,1986,63.58
10,4,1986,108.50
11,4,1986,46.94
12,4,1986,102.98
13,4,1986,106.96
14,4,1986,207.56
15,4,1986,320.08
16,4,1986,167.78
17,4,1986,109.63
18,4,1986,71.93
19,4,1986,35.32
20,4,1986,173.45
21,4,1986,106.95
22,4,1986,107.03
23,4,1986,21.84
24,4,1986,22.01
25,4,1986,23.64
26,4,1986,66.39
27,4,1986,148.78
28,4,1986,282.75
29,4,1986,331.71
30,4,1986,63.36
1,5,1986,44.76
2,5,1986,116.71
3,5,1986,137.17
4,5,1986,314.97
5,5,1986,244.62
6,5,1986,159.66
7,5,1986,85.69
8,5,1986,66.66
9,5,1986,207.53
10,5,1986,34.16
11,5,1986,105.36
12,5,1986,70.42
13,5,1986,165.41
14,5,1986,42.95
15,5,1986,87.52
16,5,1986,283.59
17,5,1986,69.16
18,5,1986,308.95
19,5,1986,100.76
20,5,1986,80.88
21,5,1986,21.40
22,5,1986,167.40
23,5,1986,116.29
24,5,1986,34.95
25,5,1986,133.50
26,5,1986,269.15
27,5,1986,171.98
28,5,1986,67.81
29,5,1986,21.79
30,5,1986,236.11
31,5,1986,35.48
1,6,1986,131.17
2,6,1986,104.59
3,6,1986,108.44
4,6,1986,63.63
5,6,1986,42.98
6,6,1986,151.31
7,6,1986,35.32
8,6,1986,110.48
9,6,1986,272.70
10,6,1986,167.25
11,6,1986,213.74
12,6,1986,173.34
13,6,1986,273.94
14,6,1986,140.70
15,6,1986,157.66
16,6,1986,137.49
17,6,1986,250.95
18,6,1986,182.59
19,6,1986,249.67
20,6,1986,119.04
21,6,1986,35.08
22,6,1986,243.79
23,6,1986,176.23
24,6,1986,56.53
25,6,1986,269.80
26,6,1986,217.36
27,6,1986,93.93
28,6,1986,70.06
29,6,1986,204.82
30,6,1986,136.40
1,7,1986,56.50
2,7,1986,45.25
3,7,1986,44.14
4,7,1986,285.81
5,7,1986,89.21
6,7,1986,219.68
7,7,1986,107.89
8,7,1986,142.35
9,7,1986,113.86
10,7,1986,45.44
11,7,1986,122.65
12,7,1986,103.57
13,7,1986,187.08
14,7,1986,352.46
15,7,1986,223.79
16,7,1986,110.20
17,7,1986,46.18
18,7,1986,48.69
19,7,1986,203.31
20,7,1986,229.77
21,7,1986,275.26
22,7,1986,145.17
23,7,1986,288.18
24,7,1986,69.21
25,7,1986,115.53
26,7,1986,34.71
27,7,1986,435.00
28,7,1986,103.05
29,7,1986,84.13
30,7,1986,109.42
31,7,1986,185.22
1,8,1986,70.67
2,8,1986,100.82
3,8,1986,128.54
4,8,1986,68.02
5,8,1986,55.26
6,8,1986,65.88
7,8,1986,202.71
8,8,1986,47.51
9,8,1986,134.65
10,8,1986,277.86
11,8,1986,273.70
12,8,1986,54.74
13,8,1986,43.71
14,8,1986,66.05
15,8,1986,95.19
16,8,1986,68.70
17,8,1986,154.28
18,8,1986,345.35
19,8,1986,355.72
20,8,1986,172.68
21,8,1986,111.30
22,8,1986,47.77
23,8,1986,171.92
24,8,1986,334.60
25,8,1986,171.52
26,8,1986,311.49
27,8,1986,21.51
28,8,1986,42.58
29,8,1986,73.73
30,8,1986,33.52
31,8,1986,319.61
1,9,1986,352.40
2,9,1986,140.07
3,9,1986,106.12
4,9,1986,130.03
5,9,1986,205.55
6,9,1986,100.30
7,9,1986,182.95
8,9,1986,129.47
9,9,1986,81.57
10,9,1986,65.17
11,9,1986,85.94
12,9,1986,305.26
13,9,1986,93.68
14,9,1986,204.62
15,9,1986,195.38
16,9,1986,192.10
17,9,1986,143.87
18,9,1986,43.62
19,9,1986,366.07
20,9,1986,94.51
21,9,1986,239.57
22,9,1986,65.84
23,9,1986,107.05
24,9,1986,189.41
25,9,1986,84.75
26,9,1986,231.06
27,9,1986,221.00
28,9,1986,496.43
29,9,1986,130.54
30,9,1986,161.13
1,10,1986,82.31
2,10,1986,86.45
3,10,1986,45.12
4,10,1986,280.35
5,10,1986,178.26
6,10,1986,98.22
7,10,1986,79.96
8,10,1986,20.93
9,10,1986,103.70
10,10,1986,89.15
11,10,1986,63.18
12,10,1986,136.41
13,10,1986,64.76
14,10,1986,28.65
15,10,1986,125.58
16,10,1986,42.11
17,10,1986,45.42
18,10,1986,125.74
19,10,1986,116.74
20,10,1986,288.04
21,10,1986,77.72
22,10,1986,185.23
23,10,1986,468.47
24,10,1986,91.17
25,10,1986,92.72
26,10,1986,270.45
27,10,1986,95.42
28,10,1986,78.49
29,10,1986,82.06
30,10,1986,83.96
31,10,1986,136.91
1,11,1986,91.70
2,11,1986,223.90
3,11,1986,218.91
4,11,1986,79.44
5,11,1986,55.04
6,11,1986,136.82
7,11,1986,67.04
8,11,1986,63.40
9,11,1986,138.25
10,11,1986,127.30
11,11,1986,54.29
12,11,1986,65.77
13,11,1986,20.50
14,11,1986,67.61
15,11,1986,31.33
16,11,1986,229.96
17,11,1986,93.85
18,11,1986,51.27
19,11,1986,62.10
20,11,1986,61.15
21,11,1986,67.11
22,11,1986,31.39
23,11,1986,214.11
24,11,1986,90.48
25,11,1986,158.27
26,11,1986,44.48
27,11,1986,47.79
28,11,1986,27.05
29,11,1986,36.08
30,11,1986,122.26
1,12,1986,64.80
2,12,1986,25.26
3,12,1986,60.23
4,12,1986,142.13
5,12,1986,86.16
6,12,1986,30.81
7,12,1986,119.58
8,12,1986,123.44
9,12,1986,51.45
10,12,1986,120.54
11,12,1986,78.76
12,12,1986,63.91
13,12,1986,94.13
14,12,1986,155.36
15,12,1986,94.86
16,12,1986,124.95
17,12,1986,61.11
18,12,1986,38.76
19,12,1986,21.51
20,12,1986,61.98
21,12,1986,123.81
22,12,1986,84.89
23,12,1986,101.72
24,12,1986,47.10
25,12,1986,32.66
26,12,1986,32.23
27,12,1986,78.32
28,12,1986,204.37
29,12,1986,190.54
30,12,1986,83.99
31,12,1986,199.83
1,1,1987,112.33
2,1,1987,163.61
3,1,1987,66.03
4,1,1987,84.01
5,1,1987,96.01
6,1,1987,96.44
7,1,1987,180.07
8,1,1987,77.73
9,1,1987,102.76
10,1,1987,28.91
11,1,1987,154.46
12,1,1987,120.01
13,1,1987,92.88
14,1,1987,95.02
15,1,1987,37.93
16,1,1987,20.81
17,1,1987,88.10
18,1,1987,94.21
19,1,1987,152.64
20,1,1987,120.84
21,1,1987,73.83
22,1,1987,93.43
23,1,1987,21.78
24,1,1987,87.92
25,1,1987,200.93
26,1,1987,152.01
27,1,1987,69.90
28,1,1987,37.99
29,1,1987,92.47
30,1,1987,60.64
31,1,1987,27.91
1,2,1987,163.29
2,2,1987,114.55
3,2,1987,112.52
4,2,1987,36.65
5,2,1987,92.08
6,2,1987,98.26
7,2,1987,27.25
8,2,1987,89.66
9,2,1987,116.53
10,2,1987,44.97
11,2,1987,35.15
12,2,1987,35.12
13,2,1987,78.07
14,2,1987,27.83
15,2,1987,87.38
16,2,1987,31.63
17,2,1987,77.27
18,2,1987,74.52
19,2,1987,18.26
20,2,1987,97.19
21,2,1987,55.37
22,2,1987,69.38
23,2,1987,144.32
24,2,1987,22.47
25,2,1987,54.36
26,2,1987,107.76
27,2,1987,36.90
28,2,1987,26.88
1,3,1987,87.80
2,3,1987,28.17
3,3,1987,22.19
4,3,1987,53.80
5,3,1987,35.82
6,3,1987,116.44
7,3,1987,26.68
8,3,1987,105.83
9,3,1987,28.42
10,3,1987,44.98
11,3,1987,126.62
12,3,1987,124.41
13,3,1987,77.19
14,3,1987,26.86
15,3,1987,35.39
16,3,1987,139.42
17,3,1987,68.27
18,3,1987,54.92
19,3,1987,55.22
20,3,1987,76.35
21,3,1987,55.32
22,3,1987,86.63
23,3,1987,144.40
24,3,1987,22.68
25,3,1987,93.22
26,3,1987,36.82
27,3,1987,97.01
28,3,1987,27.94
29,3,1987,83.20
30,3,1987,140.14
31,3,1987,22.44
1,4,1987,55.53
2,4,1987,71.81
3,4,1987,39.23
4,4,1987,86.57
5,4,1987,85.33
6,4,1987,55.15
7,4,1987,44.32
8,4,1987,34.69
9,4,1987,89.88
10,4,1987,56.21
11,4,1987,82.86
12,4,1987,88.76
13,4,1987,27.93
14,4,1987,45.68
15,4,1987,94.67
16,4,1987,72.78
17,4,1987,99.34
18,4,1987,30.25
19,4,1987,158.48
20,4,1987,120.75
21,4,1987,112.62
22,4,1987,35.45
23,4,1987,70.22
24,4,1987,18.99
25,4,1987,106.89
26,4,1987,138.98
27,4,1987,135.91
28,4,1987,109.24
29,4,1987,34.82
30,4,1987,109.07
1,5,1987,131.95
2,5,1987,27.44
3,5,1987,123.26
4,5,1987,112.05
5,5,1987,91.52
6,5,1987,35.15
7,5,1987,36.26
8,5,1987,97.31
9,5,1987,142.71
10,5,1987,245.86
11,5,1987,113.29
12,5,1987,43.50
13,5,1987,54.37
14,5,1987,90.61
15,5,1987,37.06
16,5,1987,54.35
17,5,1987,105.00
18,5,1987,26.92
19,5,1987,21.58
20,5,1987,17.22
21,5,1987,17.60
22,5,1987,18.80
23,5,1987,27.94
24,5,1987,18.05
25,5,1987,36.05
26,5,1987,27.44
27,5,1987,18.46
28,5,1987,18.08
29,5,1987,19.13
30,5,1987,28.66
31,5,1987,18.48
1,6,1987,140.79
2,6,1987,116.74
3,6,1987,202.95
4,6,1987,87.90
5,6,1987,92.63
6,6,1987,111.02
7,6,1987,161.44
8,6,1987,111.50
9,6,1987,112.81
10,6,1987,183.91
11,6,1987,53.69
12,6,1987,77.46
13,6,1987,57.94
14,6,1987,146.00
15,6,1987,55.87
16,6,1987,22.27
17,6,1987,18.22
18,6,1987,55.65
19,6,1987,97.14
20,6,1987,55.49
21,6,1987,54.44
22,6,1987,112.70
23,6,1987,23.44
24,6,1987,37.06
25,6,1987,36.18
26,6,1987,59.41
27,6,1987,57.05
28,6,1987,98.82
29,6,1987,84.96
30,6,1987,90.67
1,7,1987,17.40
2,7,1987,34.77
3,7,1987,41.60
4,7,1987,35.80
5,7,1987,103.84
6,7,1987,113.41
7,7,1987,114.42
8,7,1987,72.68
9,7,1987,52.68
10,7,1987,56.59
11,7,1987,58.23
12,7,1987,170.71
13,7,1987,177.22
14,7,1987,42.80
15,7,1987,52.00
16,7,1987,51.44
17,7,1987,93.56
18,7,1987,28.31
19,7,1987,94.68
20,7,1987,25.70
21,7,1987,109.66
22,7,1987,18.17
23,7,1987,35.47
24,7,1987,57.25
25,7,1987,27.34
26,7,1987,94.06
27,7,1987,128.91
28,7,1987,21.47
29,7,1987,106.16
30,7,1987,35.05
31,7,1987,57.40
1,8,1987,29.64
2,8,1987,93.53
3,8,1987,26.30
4,8,1987,21.70
5,8,1987,18.09
6,8,1987,51.55
7,8,1987,56.39
8,8,1987,58.94
9,8,1987,144.03
10,8,1987,50.57
11,8,1987,43.86
12,8,1987,18.16
13,8,1987,84.99
14,8,1987,19.22
15,8,1987,57.52
16,8,1987,91.56
17,8,1987,78.83
18,8,1987,85.76
19,8,1987,18.29
20,8,1987,50.86
21,8,1987,54.50
22,8,1987,28.87
23,8,1987,89.10
24,8,1987,26.78
25,8,1987,43.05
26,8,1987,89.37
27,8,1987,17.22
28,8,1987,58.43
29,8,1987,27.97
30,8,1987,87.78
31,8,1987,134.13
1,9,1987,19.95
2,9,1987,50.89
3,9,1987,49.02
4,9,1987,89.56
5,9,1987,27.85
6,9,1987,87.40
7,9,1987,105.02
8,9,1987,25.93
9,9,1987,53.96
10,9,1987,80.98
11,9,1987,52.30
12,9,1987,53.57
13,9,1987,100.54
14,9,1987,96.46
15,9,1987,100.45
16,9,1987,16.83
17,9,1987,64.52
18,9,1987,54.48
19,9,1987,26.08
20,9,1987,83.94
21,9,1987,47.52
22,9,1987,39.95
23,9,1987,51.44
24,9,1987,49.87
25,9,1987,71.47
26,9,1987,51.55
27,9,1987,113.73
28,9,1987,151.68
29,9,1987,60.77
30,9,1987,34.90
1,10,1987,64.37
2,10,1987,36.03
3,10,1987,52.91
4,10,1987,83.38
5,10,1987,72.23
6,10,1987,104.03
7,10,1987,35.51
8,10,1987,64.43
9,10,1987,71.13
10,10,1987,101.77
11,10,1987,160.37
12,10,1987,95.14
13,10,1987,42.39
14,10,1987,67.79
15,10,1987,48.16
16,10,1987,126.11
17,10,1987,50.03
18,10,1987,183.31
19,10,1987,173.50
20,10,1987,150.91
21,10,1987,215.87
22,10,1987,128.42
23,10,1987,143.83
24,10,1987,125.20
25,10,1987,236.93
26,10,1987,259.96
27,10,1987,186.39
28,10,1987,152.89
29,10,1987,139.50
30,10,1987,126.36
31,10,1987,299.16
1,11,1987,251.36
2,11,1987,273.77
3,11,1987,164.15
4,11,1987,106.53
5,11,1987,186.59
6,11,1987,161.75
7,11,1987,76.54
8,11,1987,121.06
9,11,1987,177.18
10,11,1987,141.04
11,11,1987,85.09
12,11,1987,83.70
13,11,1987,72.01
14,11,1987,123.81
15,11,1987,81.15
16,11,1987,124.71
17,11,1987,159.62
18,11,1987,149.06
19,11,1987,141.18
20,11,1987,120.00
21,11,1987,128.97
22,11,1987,178.02
23,11,1987,118.44
24,11,1987,143.21
25,11,1987,89.02
26,11,1987,158.12
27,11,1987,107.11
28,11,1987,29.02
29,11,1987,214.65
30,11,1987,151.01
1,12,1987,207.64
2,12,1987,100.40
3,12,1987,97.09
4,12,1987,88.27
5,12,1987,180.75
6,12,1987,83.13
7,12,1987,169.77
8,12,1987,99.13
9,12,1987,83.46
10,12,1987,30.95
11,12,1987,105.87
12,12,1987,79.44
13,12,1987,84.98
14,12,1987,149.62
15,12,1987,182.38
16,12,1987,49.63
17,12,1987,130.54
18,12,1987,52.42
19,12,1987,134.69
